OBJECTID,Shape_Leng,Latitude,Longitude,Projection_y_coordinate,Projection_x_coordinate,tas_annual_baseline_81_00_media,tas_annual_01_20_median,tas_annual_change_01_20_median,tas_annual_change_15_median,tas_annual_change_20_median,tas_annual_change_25_median,tas_annual_change_30_median,tas_annual_change_40_median,tas_annual_baseline_81_00_upper,tas_annual_01_20_upper,tas_annual_change_01_20_upper,tas_annual_change_15_upper,tas_annual_change_20_upper,tas_annual_change_25_upper,tas_annual_change_30_upper,tas_annual_change_40_upper,tas_annual_baseline_81_00_lower,tas_annual_01_20_lower,tas_annual_change_01_20_lower,tas_annual_change_15_lower,tas_annual_change_20_lower,tas_annual_change_25_lower,tas_annual_change_30_lower,tas_annual_change_40_lower,SHAPE_Length,SHAPE_Area,,Comments,
1,48000,50.00444799,-5.65785103,18000,138000,10.73823676,11.39292589,0.654689128,0.950751333,1.473020136,1.881862548,2.27877909,3.074618262,10.74046224,11.68103516,0.940572917,1.256333499,1.731254237,1.971165158,2.486606833,3.437332383,10.73590712,11.30519097,0.569283854,0.849570933,1.313055039,1.77931589,2.094978505,2.740999504,48000,-144000000,,,
2,48000,50.00960175,-5.49071463,18000,150000,11.14146647,11.7931543,0.651687826,0.954527711,1.474050332,1.880581701,2.278182069,3.069171446,11.14346788,12.08078885,0.937320964,1.259537347,1.720800058,1.962129836,2.477064939,3.44817729,11.13910156,11.70746853,0.56836697,0.852361938,1.312728226,1.780339058,2.09938213,2.742585875,48000,-144000000,,Webpage:,https://climate-themetoffice.hub.arcgis.com/datasets/TheMetOffice::annual-average-temperature-change-projections-12km/about
3,48000,50.01451512,-5.32353096,18000,162000,10.96657227,11.61629015,0.649717882,0.963002361,1.48275432,1.897530924,2.297117358,3.100332625,10.96975911,11.9057487,0.935989583,1.271866423,1.725608104,1.974501333,2.495968709,3.489371538,10.96363932,11.53437717,0.570737847,0.864939133,1.319010727,1.815016844,2.117229559,2.783655237,48000,-144000000,,,
4,48000,50.0191881,-5.15630196,18000,174000,10.81350369,11.46210938,0.648605686,0.97290145,1.499666522,1.913225576,2.325702066,3.150762855,10.81956272,11.75764106,0.938078342,1.28406777,1.749858321,2.000763269,2.536524161,3.526557901,10.80864366,11.39744575,0.588802083,0.87604456,1.330280465,1.863429233,2.135233445,2.836178489,48000,-144000000,,,
5,48000,50.0236205,-4.98902951,18000,186000,11.08630588,11.73541721,0.649111328,0.969914615,1.496097961,1.91088769,2.318009001,3.133747727,11.09076172,12.02693142,0.936169705,1.2828682,1.741231089,1.990617456,2.518826937,3.524772342,11.08309353,11.66594618,0.582852648,0.870032759,1.325427104,1.849271505,2.133255725,2.824064825,48000,-144000000,,,
6,48000,50.11215289,-5.66605827,30000,138000,10.66943956,11.32412815,0.654688585,0.950751514,1.473019283,1.881862212,2.27877878,3.074618986,10.6716645,11.61223741,0.940572917,1.256333705,1.731254444,1.971165365,2.486605954,3.437333623,10.66710938,11.23639431,0.569284939,0.849571139,1.313055246,1.779316096,2.094978712,2.740998677,48000,-144000000,,,
7,48000,50.11732632,-5.4985488,30000,150000,11.0221951,11.67688422,0.654689128,0.95075154,1.473020368,1.881862728,2.27877878,3.074618986,11.02442057,11.96499349,0.940572917,1.256333705,1.73125341,1.971165365,2.486605954,3.437332589,11.01986545,11.58914931,0.569283854,0.849570106,1.313054212,1.779316096,2.094978712,2.740998677,48000,-144000000,,,
8,48000,50.12225852,-5.33099187,30000,162000,10.61473416,11.26228461,0.647550456,0.959868371,1.475505436,1.889026486,2.285543232,3.061469985,10.6170204,11.54921007,0.93218967,1.264070457,1.706016142,1.949352782,2.463571532,3.463515728,10.61257921,11.17968967,0.56711046,0.856310557,1.312266297,1.781787264,2.105608982,2.744832899,48000,-144000000,,,
9,48000,50.12694922,-5.16338923,30000,174000,10.56061523,11.20970269,0.649087457,0.965688037,1.491051536,1.909563363,2.309419798,3.109685743,10.56313151,11.49645616,0.933324653,1.281170377,1.729029121,1.976269738,2.493796503,3.518500847,10.55865668,11.13337023,0.574713542,0.861532428,1.318564711,1.829249132,2.130457331,2.806933904,48000,-144000000,,,
10,48000,50.13139822,-4.99574293,30000,186000,11.23971354,11.89332194,0.653608398,0.964734158,1.497071449,1.914401662,2.312508939,3.123748579,11.24222222,12.18336697,0.941144748,1.285342159,1.741003121,1.987590836,2.50885985,3.514541274,11.23810113,11.814949,0.576847873,0.865213862,1.323576131,1.833253813,2.133689753,2.81403775,48000,-144000000,,,
11,48000,50.15827792,-3.65329113,30000,282000,11.15118652,11.86482151,0.713634983,1.012895379,1.564569408,1.991639876,2.42595282,3.248375005,11.15487847,12.09741319,0.942534722,1.372069899,1.854092107,2.110890842,2.668173931,3.681663256,11.14922418,11.78751628,0.638292101,0.920621383,1.378030857,1.96457703,2.244652778,3.008408513,48000,-144000000,,,
12,48000,50.21985517,-5.67431565,42000,138000,10.90320204,11.55789117,0.654689128,0.950751746,1.473020575,1.881862444,2.278779504,3.074618676,10.90542752,11.84600043,0.940572917,1.256333912,1.73125465,1.971166605,2.486607246,3.437331763,10.9008724,11.47015734,0.569284939,0.849569279,1.313055452,1.77931527,2.094978919,2.740998884,48000,-144000000,,,
